Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
Accel (India),VC (Tier 1),Lakshay Bansal,Analyst at Accel (India),https://www.accel.com/india-home,https://www.linkedin.com/in/lakshay-bansal/,https://twitter.com/lakshaybansal_,Greater than $20M,"SaaS, Consumer","Myntra, BookMyShow, BabyOYE, Freshdesk, Flipkart etc.","Accel is a prominent venture capital firm that provides support and investment opportunities to entrepreneurs worldwide. With a focus on both early stage and growth stage companies, Accel actively engages with startups operating in diverse sectors such as cloud computing, software as a service (SaaS), consumer products, enterprise solutions, information technology, healthcare, fintech, security, media, and business services. The firm's global presence includes offices in San Francisco, London, and Bangalore, enabling it to tap into entrepreneurial ecosystems across different geographies. Accel's strategic approach and extensive network contribute to its success in identifying and nurturing innovative businesses at various stages of development."
All in Capital,Angel Investor,Aditya Singh,CoFounder at All in Capital,,https://www.linkedin.com/in/adityasingh581bb813a/,https://twitter.com/allin_adi?lang=en,,"AI/ML, SaaS, HealthTech","Glamyo health, Masterchow, Monsoon Credittech, Unbox robotics","Aditya Singh, a dynamic Angel Investor based in Delhi, stands out as a pivotal figure in the investment arena. With a focus on Software, HealthTech, Commerce, and Shopping, he has demonstrated a keen eye for identifying opportunities across diverse industries. Aditya's investment portfolio boasts a lineup of promising startups, including Unbox Robotics, Masterchow, Glamyo Health, and another noteworthy venture. Hailing from the bustling city of Delhi, Aditya Singh has carved a niche for himself in the startup ecosystem. His investment choices reflect a strategic approach that aligns with his interest in Software, HealthTech, Commerce, and Shopping sectors. By diversifying his investment areas, he showcases his adaptability and his ability to spot innovation across a wide spectrum of industries."
Agility Ventures,VC,Sonika Prabhakar,Senior Associate at Agility Ventures,https://invest.agilityventures.in/login,https://www.linkedin.com/in/sonikaprabhakar/,https://twitter.com/AgilityVenture,,"AI/ML, Edtech, Fintech, HealthTech, SaaS, Consumer","Dolphinchat, Marj technologies, Brainwired","Agility Ventures invests in the startups and technology that are powering transformation of the supply chain. We have the know-how to incubate, go to market and scale great ideas. Agility Ventures is the corporate venture arm of Agility, a leader in supply chain services, innovation and investing. We partner with companies that are championing technology that will be the foundation for faster, cleaner, fairer and stronger supply chains."
Ah Ventures,VC (Tier 3),Anvita Dasari,Investment Associate at Ah Ventures,https://www.ahventures.in/,https://www.linkedin.com/in/ca-anvita-dasari-360404135/,,Up to $1M,"Fintech, HealthTech, Edtech, SaaS, Mobility, Consumer, Digital Entertainment","Edvizo, Aisle, Lumos, Testbook","Ah!Ventures is a platform that brings together investors and promising ventures and serves both of them through a unique blend of customized services, skill and experience. Startups associated with ah! Ventures receive an all-round development in every facet of their enterprise be it funding, networking or even recruitment of office space. They've made 29 investments in 27 companies in sectors like banking, e-commerce, consumer internet, etc. Their investment size varies between 100K - 10 Million USD."
EPIC Foundation,Angel Investor,Ajai Chowdhry,Founder & Chairman at EPIC Foundation,,https://www.linkedin.com/in/ajaichowdhry/?ref=ynos.in,https://twitter.com/https://twitter.com/ajaichowdhry?ref=ynos.in,,"HealthTech, SaaS, Consumer, Media","Clensta, Storyxpress, Wizikey, Team Indus","Dr. Ajai Chowdhry is a visionary pioneer who cofounded HCL in 1976 with five others, with a dream of using the microprocessor & changing the world. He spearheaded HCL’s expansion into Singapore in 1980, & created a successful business spanning ASEAN, China, & Hong Kong. Today, HCL is valued at an impressive US $50 billion. Ajai has played a leading role in the establishment of the electronics industry in India, serving on government committees since 1999. He has been nominated by MEITY as a Member to the Advisory Board of India Semiconductor Mission. He has also been appointed as a member of the Consultation Group on Science & Technology and Innovation Sector & as a Member of the Committee on the Semiconductor Sector by NITI Aayog. In recognition of his efforts to build the IT & Electronics industry in India, in 2011 he was conferred the prestigious Padma Bhushan, by the Hon’ble President of India. He is the recipient of many other awards, including the Electronics Man of the Year 2010, CNBC TV18’s India Innovator of the Year Award 2010, & Cybermedia Business ICT Award 2013 for Lifetime Achievement in ICT."
"Ericsson , India",Angel Investor,Ajay Gupta,"Vice President & Head of Strategy at Ericsson , India",,https://www.linkedin.com/in/ajaygupta100/,https://twitter.com/ajay_2,,"AI/ML, SaaS, Mobility, Media","MirrAR, Wedmegood, Metadome","Ajay Gupta assumes the roles of a startup mentor, angel investor, and holds a notable position as a member within the India Angel Network, a prominent angel investment network focusing on Indian startups. Currently, he holds the esteemed position of Vice President & Head of Strategy at Ericsson, a significant role that underscores his influence within the technology and business sectors. In addition to his corporate responsibilities, Ajay actively participates as a member of TiE Delhi, a dynamic entrepreneurial ecosystem fostering innovation and growth. His illustrious career spans decades, reflecting a rich amalgamation of experiences in business, strategy, and technology domains. As a startup mentor and angel investor, Ajay's contributions reverberate across the startup landscape, where his insights and support play an integral role in nurturing the growth of emerging ventures. His affiliation with the India Angel Network underlines his commitment to catalyzing the success of Indian startups, adding substantial value through financial backing, mentorship, and a wealth of industry expertise. Ajay's noteworthy position at Ericsson showcases his prowess as a strategic leader, driving the company's trajectory in an everevolving technology landscape. His expertise in business, strategy, and technology is a testament to his multifaceted abilities, which are integral in steering companies toward growth, innovation, and success."
Stanford Angels & Entrepreneurs India,Angel Investor,Ajay Lavakare,Co  president at Stanford Angels & Entrepreneurs India,,https://www.linkedin.com/in/ajaylavakare/,,,"Edtech, SaaS, Consumer","Videoken, Trezl, Loginext","Ajay Lavakare, an esteemed Angel Investor based in Delhi, stands as a pivotal figure within the investment landscape. With a keen focus on Community and Lifestyle, Software, and various other sectors, he has demonstrated a discerning eye for identifying promising opportunities. Ajay's investment portfolio showcases his dedication, featuring noteworthy startups such as Videoken, Trezi, Smartvizx, and a couple more. Emerging from the vibrant city of Delhi, Ajay Lavakare has earned a reputation as a discerning investor with a multifaceted approach. His investment preferences span across diverse domains including Community and Lifestyle, Software, and other dynamic sectors. This demonstrates not only his versatility but also his ability to recognize innovation in various industries. Ajay's role as an Angel Investor transcends the provision of capital; it involves actively fostering growth and development within startups. His strategic investments in Videoken, Trezi, Smartvizx, and others underline his commitment to nurturing groundbreaking ideas and steering them towards success."
Zebpay,Angel Investor,Ajeet Singh Balwant Singh Khurana,CEO at Zebpay,,https://www.linkedin.com/in/ajeetkhurana/,https://twitter.com/ajeetk,,"AI/ML, Fintech, HealthTech, Edtech, SaaS, Consumer, Media","GrowthSchool, Awaz, Tata 1MG, Lumos labs.","Member of Mumbai Angels. Ajeet Khurana is An active member of Mumbai Angels and also a lecturer at the University of Texas at Austin, Ajeet is known for overcoming financial and operational challenges of running education business networks. Some companies invested: Rolocule Games, ShepHertz, Avaz, Carveniche Technologies, Maximojo, United Mobile Apps, Karmic Lifesciences, Carve Niche Technologies Pvt. Ltd., PickMe eSolutions Get in touch: Ajeet KhuranaExperienced CEO with a demonstrated history of working in the fintech industry. Skilled in building teams, ensuring performance, scaling, digital strategy, planning, and negotiation. Work best in international, growth oriented, entrepreneurial settings."
LeverageEdu,Angel Investor,Akshay Chaturvedi,Founder & CEO at LeverageEdu,,https://www.linkedin.com/in/akshaychaturvedi/,https://twitter.com/Akshay001,$3M - $6M,"Edtech, SaaS","Joshtalks, Ncore games, Proeves","Akshay Chaturvedi is a notable Angel Investor based in Noida. With a keen interest in Game-Tech, Sales and Marketing, and Content and Publishing, he has made strategic investments in startups such as Josh Talks, Ncore Games, and Proeves. Akshay's investment choices reflect his belief in the potential of these sectors and his commitment to supporting innovative and promising ventures. As an Angel Investor, he plays a vital role in providing financial backing and guidance to early-stage startups, contributing to their growth and success."
Indifi Technoligies pvt ltd,Angel Investor,Alok Mittal,Co-founder & CEO at Indifi Technoligies pvt ltd,,https://www.linkedin.com/in/alok-mittal-590a/,https://twitter.com/alokmittal001?lang=en,$1M - $3M,"Fintech, HealthTech, Edtech, SaaS, Mobility, Media","Bytelearn, LeverageEdu, Cuemath, Wiziky Lifcare","Alok Mittal, an Angel Investor based in Gurugram, has made significant investments in startups across diverse sectors including Manufacturing, Data and Analytics, and Community and Lifestyle. With his extensive portfolio of investments, which includes companies like Leap.Club, Mistry.Store, Gromo, and 35 others, Alok Mittal plays a crucial role in supporting and fostering innovation in these industries. His expertise and strategic investments contribute to the growth and success of the startups he backs, further strengthening the entrepreneurial ecosystem."
Ixigo,Angel Investor,Aloke Bajpai,Co-founder at Ixigo,,https://www.linkedin.com/in/alokebajpai/,https://twitter.com/alokebajpai,$1M - $3M,"SaaS, Consumer","Twigly foods, Zapr, Mealhopper","Aloke Bajpai is a distinguished entrepreneur and technology leader, known for his roles as the Co-Founder and CEO of ixigo.com, as well as the CEO and Co-Founder of Travenues. With a strong educational background from IIT Kanpur, he embarked on his career at Amadeus in Europe, where he excelled in key product and technology positions. During his tenure, Aloke showcased his expertise in building and managing large-scale web-based products and networks. His impressive track record and experience in the industry have contributed to his success as a visionary leader in the travel and technology sectors."
boAt,Angel Investor,Aman Gupta,Co-founder at boAt,,https://www.linkedin.com/in/aman-gupta-7217a515/,https://twitter.com/amangupta0303,$10M - $20M,"Fintech, HealthTech, SaaS, Mobility, Consumer","Wyld, Growfitter, Altor","Aman Gupta is the Co-Founder and Chief Marketing Officer (CMO) of boat, a renowned consumer electronics brand. His diverse professional background includes notable positions such as Chairman of the D2C Council of the Internet and Mobile Association of India, Co-Founder of Imagine Marketing India, Director of Sales at HARMAN International, Senior Management Consultant in the Strategy Services Group at KPMG, and CEO & Co-Founder of Advanced Telemedia Pvt. Ltd. Additionally, he has served as an Assistant Manager at Citi. Aman Gupta is an accomplished individual holding a Bachelor of Commerce degree from Delhi University, a Chartered Accountant designation from the Institute of Chartered Accountants of India, and an MBA degree from the Indian School of Business."
Yulu,Angel Investor,Amit Gupta,Co-Founder & CEO at Yulu,,https://www.linkedin.com/in/amitgupta007/?ref=ynos.in,https://twitter.com/amitgupta007?ref=ynos.in,$1M - $3M,"Fintech, HealthTech, Mobility, Consumer","Healthifyme, Vahak, Shuttl app, Klub, Terra.do, Truce","Amit Gupta is a well-known figure in the Indian startup ecosystem, particularly as the co-founder of InMobi, the country's first unicorn. With a track record as a serial entrepreneur, Amit previously founded Analyticsworks, a business intelligence platform. He embarked on his second entrepreneurial venture with Yulu, a startup focused on e-bikes and mobility solutions. Holding degrees from IIT Kanpur and Harvard Business School, Amit established Yulu in 2017 and successfully secured investment from Rajiv Bajaj, MD at Bajaj Auto, to manufacture Yulu bikes in India. Beyond his ventures, Amit is an active angel investor, having supported over 30 early-stage startups, including HealthifyMe, Applicate, and Vahak."
Park+,Angel Investor,Amit Lakhotia,Founder at Park+,,https://www.linkedin.com/in/amitlakhotia/,https://twitter.com/amit_lakhotia?lang=en,$3M - $6M,"Fintech, HealthTech, SaaS, Mobility, Consumer","Junio, Onsurity, Zorro, Farmart, Gokwik","Amit Lakhotia has over 8 years of experience in the internet space, specifically in the areas of travel, payments, and e-commerce. He has held leadership positions at two highly successful startups, MakeMyTrip and Paytm, contributing to their growth from early stages to billion-dollar companies. Amit is known for his expertise in building businesses from scratch, including strategic planning, implementation, and developing robust distribution channels. His specialties include consumer research, product management, supplier negotiations, data analytics, P&L management, and team leadership."
"Campden Family Connect, India",Angel Investor,Amit Patni,"Director at Campden Family Connect, India",,https://www.linkedin.com/in/patniamit/,,,"AI/ML, Fintech, Edtech, Consumer, Media","Wellness forever, Invenzone, Grameen capital India,  Edukart","Amit takes the helm of Campden Family Connects' operations in India, spearheading the firm's growth and strategic direction within the country. As a thirdgeneration member of the esteemed Patni Family, renowned for founding Patni Computers and pioneering the establishment of Family Offices as early as the 2000s, much of Amit's professional focus centers around engaging with wealthy families and advocating the significance and purpose of Family Offices. Beyond his role in Campden Family Connects, he is a prominent promoter shareholder of Patni Computers and holds a distinguished history as a former Director of PCS Technology Ltd. Amit's involvement in the business landscape is not limited to his association with Campden Family Connects. He is the visionary Founder and Director of RAAY, a significant family office entity. Additionally, he serves as the CoFounder and Chairman of Nirvana Venture Advisors, Partner at The HiveIndia and Ideaspring Capital, and holds a directorial position at Waterfield Advisors and RAAY Foundation. Amit's academic journey boasts a Bachelor's degree in Commerce, coupled with an MBA earned from Babson College in Boston, USA. These qualifications underscore his commitment to both practical business acumen and the pursuit of advanced knowledge in the realm of entrepreneurship"
SlideShare,Angel Investor,Amit Ranjan,Co-Founder at SlideShare,,https://www.linkedin.com/in/amitranjanprofile/,,,"Fintech, SaaS, Consumer, Media","Bobble AI, minko, Seekho, Traxcn, Locus","Amit Ranjan is a passionate startup entrepreneur who has effectively connected startups with the Indian Government through his role as the Architect for Digital Locker and OpenForge. These technology-centric e-governance platforms are pivotal components of the Digital India initiative, promoting paperless governance and secure digital access to citizen records. Amit Ranjan's entrepreneurial background infuses innovation into his government role, driving efficiency and accessibility in traditional processes. His contributions exemplify the synergy between startups and the government, fostering technological advancements and enhancing citizen services. His dedication to creating a digitally inclusive India through his work demonstrates his commitment to positive change."
ASR & Greenzo,Angel Investor,Amit Singal,Director at ASR & Greenzo,,https://www.linkedin.com/in/amitsingalca/,https://twitter.com/amitsingalca?lang=en,,"AI/ML, Fintech, HealthTech, Edtech","Keito, moneyyapp, Pee safe, Advantage club","Experienced Chief Executive Officer with a proven track record in the field of accounting. Possesses expertise in areas such as Internal Audit, Corporate Finance, Managerial Finance, and External Audit. A skilled and adept professional with a background in business development, holding a degree from The Institute of Chartered Accountants of India. With a wealth of experience, he has assumed the role of Chief Executive Officer, successfully leading and navigating the accounting industry.His proficiency encompasses a range of vital areas, including Internal Audit, where he excels in assessing and enhancing internal control systems, minimizing risk, and ensuring compliance."
Prime Venture Partners,Angel Investor,Amit Somani,Managing Partner at Prime Venture Partners,,https://www.linkedin.com/in/thesomani/,https://twitter.com/amitsomani?ref_src=twsrc%5Etfw,$1M - $3M,"Consumer, Mobility","Qikwell Technologies India, Advises Phone Warrior Inc, Ixigo.com, HotelTravel.com, and MindTickle.","Amit Somani, an esteemed angel investor based in Bengaluru, focuses his investments on prominent sectors such as Edu-Tech, Information Technology, and Software. Notable startups in his portfolio include Hiration and Collpoll, among others. With his expertise and experience, Amit provides valuable support and guidance to the startups he invests in, contributing to their growth and success."
Facebook,Angel Investor,Anand Chandrasekaran,Director at Facebook,,https://www.linkedin.com/in/anandc/,https://twitter.com/anandc,$1M - $3M,"Fintech, SaaS, Consumer","LetsVenture, Fynd, InnerChef, Instalively, NoBroker, Wooplr","Anand has successfully managed five products, each reaching over 10 million users, with one of them amassing a user base exceeding 1 billion. Anand is the co-founder of Aeroprise Inc., acquired by BMC Software. Currently serving as the Executive Vice President of Product Management at Five9, Anand has played a crucial role in the company's market value growth of over $10 billion since 2019. Previously, he held positions such as Director of Messenger Platform at Facebook, and other leadership roles at Snapdeal/Freecharge and Bharti Airtel, driving innovative product development and digital transformation. He has a strong academic background with degrees from Stanford University and PSG College of Technology, and is recognized as a Young Global Leader by the World Economic Forum. Anand is actively involved in startup investments, having provided seed funding to over 60 startups in the US and India."
Everest Flavours,Angel Investor,Anand Ladsariya,Founder at Everest Flavours,,https://www.linkedin.com/in/anand-ladsariya-02667113/,https://www.google.co.in/,$1M - $3M,"Mobility, Media, Consumer","Asiatic, Oyo Rooms, Myntra, Appsdaily, Tonbo Imaging, Uniphore, and Assured Risk, Mobiquest","Anand Ladsariya, a member of Indian Angels, holds the position of CEO and promoter director at Everest Flavours Ltd., a privately owned company renowned for its production and export of Menthol, Peppermint Oil, flavors, and fragrances. With a remarkable academic background, Anand is a graduate and gold medalist from Bombay University, as well as a postgraduate MBA from IIM, Ahmedabad. In addition to his business endeavors, he actively engages in various social activities. Anand's contributions extend to his role as the ex-Chairman of CHEMEXCIL, a prestigious export promotion organization established by the Ministry of Commerce, Government of India. As an avid angel investor, he is associated with both Mumbai Angels and Indian Angel Network, having invested in over 35 startups to date. Anand's expertise and mentorship play a crucial role in guiding and assisting founders to achieve the next level of success."
Dhamiri,Angel Investor,Anand Shah,Founder at Dhamiri,,https://www.linkedin.com/in/anand-shah-0817b1115/?originalSubdomain=in,,,"SaaS, Consumer","Eekifoods, Evage, Onecare","Anand Shah is an Angel Investor from United States of America. Prominent investment areas are Energy, Agritech and Farming, Others and has invested in startups like Onecare, Eekifoods, & Evage."
"Angel networks (IAN, MAN, etc)",VC (Tier 3),Prafful Garg,"Associate at Angel networks (IAN, MAN, etc)",https://www.indianangelnetwork.com/,https://www.linkedin.com/in/gargprafful/,https://twitter.com/praffulgarg,$1M - $3M,"SaaS, Edtech","Freshworld, FabAlley, extraaedge, Webengage, Zippr","Indian Angel Network is a prominent network of angel investors in India. The network focuses on investing in early-stage businesses across a wide range of sectors, including agriculture, gaming, internet, retail, e-commerce, healthcare, lifestyle, semiconductor, education, hospitality, manufacturing, services, financial services, information technology, mobile, and social impact. With their extensive network of experienced investors, Indian Angel Network provides not only capital but also mentorship, guidance, and valuable industry connections to the startups they invest in. By supporting entrepreneurs and their innovative ideas, Indian Angel Network plays a crucial role in fostering the growth of the Indian startup ecosystem and driving economic development in various sectors."
"Avaana Capital, India",Angel Investor,Anjali Bansal,"Founder & Chairperson at Avaana Capital, India",,https://www.linkedin.com/in/anjalibansal8489091/,,,"Fintech, HealthTech, Consumer, SaaS","Animall, Urban company, Qapita, Gigindia","Anjali Bansal is former non executive Chairperson of Dena Bank where she successfully led the resolution of the stressed bank. She also chairs NITI Aayog Investment Council for Fintech and Women Entrepreneurship. Anjali is founder of Avaana Capital, a fund platform that invests in innovation led business models to achieve impact at scale. She was previously global Partner and Managing Director with TPG Growth PE, Spencer Stuart India Founder CEO, and strategy consultant with McKinsey and Co in New York and India. She has been an active investor and mentor in companies including MakeMyTrip, Nykaa, Safari, Alphavector, Lenskart, UrbanClap, Darwinbox, Loantap. She started her career as an engineer. She serves as an independent non executive director on the boards of Siemens Ltd, Tata Power, Voltas, Kotak AMC, and Delhivery. She is on the Advisory Board of the Columbia University Global Centers, South Asia. Previously, she chaired the India board of Women's World Banking, a leading global livelihoodpromoting institution and continues to be an advisor to SEWA. She has previously served on the public boards of GSK Pharma and Bata. She is a charter member of TiE, serves on the managing committee of the Indian Venture Capital Association, mentor to Facebook SheLeadsTech, NITI Aayog's Atal Innovation Mission. An active contributor to the dialogue on corporate governance and diversity, Anjali cofounded and chaired the FICCI Center for Corporate Governance program for Women on Corporate Boards. She serves on the managing committee of the Bombay Chamber of Commerce and Industry. She is a member of the Young Presidents' Organization. She has been listed as one of the Most Powerful Women in Indian Business by Indias leading publication, Business Today, and by Fortune India. She is a frequent speaker at forums like Harvard, Stanford, Columbia, IVCA, BSE and jury member for awards including ET 40 Under 40, Women Ahead, CEO Awards, VC Circle, AIWMI Wealth Awards and others. She has a BE in Computer Engineering from Gujarat University and Masters in International Finance and Business from Columbia University"
